%id	home	costs_per_day
D000000	L000011	9000
D000001	L000002	10000
D000002	L000032	7000
D000003	L000011	7000
D000004	L000004	9000
D000005	L000011	8000
D000006	L000004	7000
D000007	L000011	8000
D000008	L000000	11000
D000009	L000011	9000
D000010	L000002	9000
D000011	L000032	11000
D000012	L000011	9000
D000013	L000011	11000
D000014	L000024	7000
D000015	L000011	10000
D000016	L000032	11000
D000017	L000024	10000
D000018	L000011	7000
D000019	L000032	11000
D000020	L000003	9000
D000021	L000032	9000
D000022	L000024	11000
D000023	L000000	8000
D000024	L000000	10000
D000025	L000032	7000
