%id	start
C000000	L000001
C000001	L000077
C000002	L000077
C000003	L000077
C000004	L000001
C000005	L000027
C000006	L000004
C000007	L000004
C000008	L000077
C000009	L000001
C000010	L000027
C000011	L000002
C000012	L000027
C000013	L000027
C000014	L000027
C000015	L000077
C000016	L000077
C000017	L000029
C000018	L000004
C000019	L000029
C000020	L000001
C000021	L000001
C000022	L000004
C000023	L000029
C000024	L000002
C000025	L000002
C000026	L000002
C000027	L000001
C000028	L000029
C000029	L000029
C000030	L000000
C000031	L000004
C000032	L000004
C000033	L000004
C000034	L000003
C000035	L000000
C000036	L000001
C000037	L000000
C000038	L000000
C000039	L000001
C000040	L000004
C000041	L000029
C000042	L000000
C000043	L000027
C000044	L000002
C000045	L000003
C000046	L000001
C000047	L000003
C000048	L000003
C000049	L000004
C000050	L000003
C000051	L000029
C000052	L000027
C000053	L000003
C000054	L000002
C000055	L000077
C000056	L000004
C000057	L000003
C000058	L000003
C000059	L000029
C000060	L000000
C000061	L000001
C000062	L000002
C000063	L000003
C000064	L000002
C000065	L000003
C000066	L000001
C000067	L000001
C000068	L000001
C000069	L000001
