%id	start_location	max_containers	max_drivers	costs_per_h_km	avg_speed_km_h
T000000	L000001	3	2	230	35
T000001	L000077	1	2	170	50
T000002	L000077	3	1	270	50
T000003	L000001	1	2	205	40
T000004	L000027	1	2	205	55
T000005	L000004	2	2	250	60
T000006	L000077	1	1	160	50
T000007	L000001	3	2	230	35
T000008	L000027	1	2	135	55
T000009	L000002	2	1	185	35
T000010	L000027	3	1	270	50
T000011	L000027	2	1	185	50
T000012	L000077	3	2	290	30
T000013	L000029	2	2	200	30
T000014	L000004	3	1	270	50
T000015	L000029	3	2	290	40
T000016	L000001	2	1	145	55
T000017	L000004	3	2	165	40
T000018	L000029	2	2	250	30
T000019	L000002	3	1	270	30
T000020	L000001	3	2	165	55
T000021	L000029	2	2	150	55
T000022	L000000	1	1	185	45
T000023	L000004	3	2	230	35
T000024	L000003	1	1	130	60
T000025	L000000	2	2	200	40
T000026	L000001	2	1	185	35
T000027	L000000	2	2	250	55
T000028	L000001	3	1	270	50
T000029	L000000	3	1	270	40
T000030	L000077	1	2	170	50
T000031	L000001	3	1	160	30
T000032	L000001	1	1	130	50
T000033	L000029	1	2	205	55
T000034	L000027	3	2	230	35
T000035	L000004	3	1	215	50
T000036	L000077	2	1	145	40
T000037	L000027	3	1	215	35
T000038	L000077	1	2	205	45
T000039	L000000	3	1	215	60
T000040	L000027	2	1	145	30
T000041	L000000	2	2	250	30
T000042	L000000	1	2	170	50
T000043	L000000	1	1	160	50
T000044	L000004	1	2	205	45
T000045	L000027	3	1	215	40
T000046	L000000	3	2	290	50
T000047	L000029	3	1	270	50
T000048	L000027	3	2	165	40
T000049	L000000	1	1	160	55
T000050	L000002	2	1	185	55
T000051	L000077	3	1	160	40
T000052	L000002	1	1	185	50
T000053	L000027	3	1	160	35
T000054	L000029	3	2	230	30
T000055	L000029	3	2	165	55
T000056	L000077	3	1	160	45
T000057	L000000	2	1	185	30
T000058	L000004	3	2	290	50
