%id	pickup_window_start	pickup_window_end	pickup_location	delivery_window_start	delivery_window_end	delivery_location
O000000	10800000	12600000	L000006	10800000	13500000	L000127
O000001	1800000	12600000	L000157	6300000	17100000	L000101
O000002	8100000	11700000	L000143	9900000	13500000	L000021
O000003	6300000	7200000	L000092	6300000	7200000	L000073
O000004	5400000	7200000	L000073	5400000	7200000	L000126
O000005	2700000	8100000	L000126	5400000	9000000	L000034
O000006	7200000	9000000	L000097	7200000	9000000	L000098
O000007	7200000	9000000	L000097	9000000	9900000	L000039
O000008	8100000	9900000	L000039	8100000	10800000	L000124
O000009	9900000	11700000	L000139	10800000	12600000	L000189
O000010	10800000	13500000	L000189	14400000	16200000	L000036
O000011	12600000	15300000	L000036	14400000	18000000	L000082
O000012	9900000	12600000	L000139	14400000	17100000	L000015
O000013	15300000	17100000	L000015	15300000	18900000	L000048
O000014	13500000	16200000	L000015	18000000	21600000	L000152
O000015	17100000	21600000	L000152	18900000	25200000	L000000
O000016	8100000	9900000	L000108	12600000	14400000	L000199
O000017	12600000	18000000	L000119	18000000	20700000	L000150
O000018	18900000	19800000	L000139	21600000	23400000	L000094
O000019	22500000	24300000	L000120	26100000	27900000	L000001
O000020	6300000	7200000	L000187	6300000	7200000	L000199
O000021	6300000	7200000	L000199	6300000	8100000	L000165
O000022	6300000	7200000	L000199	7200000	8100000	L000144
O000023	7200000	9900000	L000010	10800000	14400000	L000002
O000024	9000000	9900000	L000010	11700000	14400000	L000002
O000025	2700000	9000000	L000052	4500000	10800000	L000169
O000026	3600000	9000000	L000168	3600000	10800000	L000194
O000027	9000000	10800000	L000104	12600000	14400000	L000001
O000028	9000000	9900000	L000104	14400000	16200000	L000000
O000029	14400000	16200000	L000000	19800000	20700000	L000003
O000030	8100000	9900000	L000002	12600000	13500000	L000113
O000031	7200000	9900000	L000002	11700000	14400000	L000039
O000032	9000000	13500000	L000113	11700000	14400000	L000039
O000033	14400000	16200000	L000198	17100000	18000000	L000000
O000034	6300000	9000000	L000134	8100000	11700000	L000010
O000035	7200000	9000000	L000134	13500000	15300000	L000001
O000036	9000000	10800000	L000010	13500000	14400000	L000001
O000037	7200000	9000000	L000105	8100000	10800000	L000009
O000038	8100000	10800000	L000058	8100000	12600000	L000059
O000039	8100000	11700000	L000059	12600000	16200000	L000157
O000040	9000000	12600000	L000059	11700000	18000000	L000157
O000041	2700000	5400000	L000194	5400000	7200000	L000089
O000042	5400000	9900000	L000153	7200000	12600000	L000082
O000043	8100000	14400000	L000157	11700000	18000000	L000002
