%id	is_depot
L000000	true
L000001	true
L000002	true
L000003	true
L000004	true
L000005	false
L000006	false
L000007	false
L000008	false
L000009	false
L000010	false
L000011	false
L000012	false
L000013	false
L000014	false
L000015	false
L000016	false
L000017	false
L000018	false
L000019	false
L000020	false
L000021	false
L000022	false
L000023	false
L000024	false
L000025	false
L000026	false
L000027	false
L000028	false
L000029	false
L000030	false
L000031	false
L000032	false
L000033	false
L000034	false
L000035	false
L000036	false
L000037	false
L000038	false
L000039	false
L000040	false
L000041	false
L000042	false
L000043	false
L000044	false
L000045	false
L000046	false
L000047	false
L000048	false
L000049	false
L000050	false
L000051	false
L000052	false
L000053	false
L000054	false
L000055	false
L000056	false
L000057	false
L000058	false
L000059	false
L000060	false
L000061	false
L000062	false
L000063	false
L000064	false
L000065	false
L000066	false
L000067	false
L000068	false
L000069	false
L000070	false
L000071	false
L000072	false
L000073	false
L000074	false
L000075	false
L000076	false
L000077	false
L000078	false
L000079	false
L000080	false
L000081	false
L000082	false
L000083	false
L000084	false
L000085	false
L000086	false
L000087	false
L000088	false
L000089	false
L000090	false
L000091	false
L000092	false
L000093	false
L000094	false
L000095	false
L000096	false
L000097	false
L000098	false
L000099	false
L000100	false
L000101	true
L000102	true
L000103	false
L000104	false
L000105	false
L000106	false
L000107	false
L000108	false
L000109	false
L000110	false
L000111	false
L000112	false
L000113	false
L000114	false
L000115	false
L000116	false
L000117	false
L000118	false
L000119	false
L000120	false
L000121	false
L000122	false
L000123	false
L000124	false
L000125	false
L000126	false
L000127	false
L000128	false
L000129	false
L000130	false
L000131	false
L000132	false
L000133	false
L000134	false
L000135	true
L000136	false
L000137	false
L000138	false
L000139	false
L000140	false
L000141	false
L000142	false
L000143	false
L000144	false
L000145	false
L000146	false
L000147	false
L000148	false
L000149	false
L000150	false
L000151	false
L000152	false
L000153	false
L000154	false
L000155	false
L000156	false
L000157	false
L000158	false
L000159	false
L000160	false
L000161	false
L000162	false
L000163	false
L000164	false
L000165	false
L000166	false
L000167	false
L000168	false
L000169	false
L000170	false
L000171	false
L000172	false
L000173	false
L000174	false
L000175	false
L000176	false
L000177	false
L000178	false
L000179	false
L000180	false
L000181	false
L000182	false
L000183	false
L000184	false
L000185	false
L000186	false
L000187	false
L000188	false
L000189	false
L000190	false
L000191	false
L000192	false
L000193	false
L000194	false
L000195	false
L000196	false
L000197	false
L000198	false
L000199	false
L000200	false
L000201	false
L000202	false
L000203	false
L000204	false
L000205	false
L000206	false
L000207	false
L000208	false
L000209	true
L000210	false
L000211	false
L000212	false
L000213	false
L000214	false
L000215	false
L000216	false
L000217	false
L000218	false
L000219	false
L000220	false
L000221	false
L000222	false
L000223	false
L000224	true
L000225	false
L000226	false
L000227	false
L000228	false
L000229	false
L000230	false
L000231	false
L000232	false
L000233	false
L000234	false
L000235	false
L000236	false
L000237	false
L000238	false
L000239	false
L000240	false
L000241	true
L000242	false
L000243	false
L000244	false
L000245	false
L000246	false
L000247	false
L000248	false
L000249	false
L000250	false
L000251	false
L000252	false
L000253	false
L000254	false
L000255	false
L000256	false
L000257	false
L000258	false
L000259	false
L000260	false
L000261	false
L000262	false
L000263	false
L000264	false
L000265	false
L000266	false
L000267	false
L000268	false
L000269	false
L000270	false
L000271	false
L000272	false
L000273	false
L000274	false
L000275	false
L000276	false
L000277	false
L000278	false
L000279	false
L000280	false
L000281	false
L000282	false
L000283	false
L000284	false
L000285	false
L000286	false
L000287	false
L000288	false
L000289	false
L000290	false
L000291	false
L000292	false
L000293	false
L000294	false
L000295	false
L000296	false
L000297	false
L000298	false
L000299	false
