%truck	orders	drivers	containers	from	start_time	to
T000000	()	(D000000)	(C000000)	L000001	1170000	L000070
T000000	(O000000)	(D000000)	(C000000)	L000070	7567200	L000025
T000000	(O000001)	(D000000)	(C000000)	L000025	11203200	L000001
T000001	()	(D000001)	(C000002,C000001)	L000003	1530000	L000264
T000001	(O000002,O000003)	(D000001)	(C000002,C000001)	L000264	2790000	L000033
T000001	(O000003,O000004)	(D000001)	(C000002,C000001)	L000033	4402800	L000003
T000002	()	(D000002)	(C000003)	L000101	2160000	L000072
T000002	(O000005)	(D000002)	(C000003)	L000072	7437600	L000159
T000002	()	(D000002)	(C000003)	L000159	9633600	L000052
T000002	(O000006)	(D000002)	(C000003)	L000052	14072400	L000101
T000003	()	(D000003)	(C000004)	L000004	1530000	L000288
T000003	(O000007)	(D000003)	(C000004)	L000288	8024400	L000187
T000003	()	(D000003)	(C000004)	L000187	13435200	L000004
T000004	()	(D000004)	(C000005)	L000001	2430000	L000285
T000004	(O000008)	(D000004)	(C000005)	L000285	10494000	L000027
T000004	(O000009)	(D000004)	(C000005)	L000027	14457600	L000190
T000004	()	(D000004)	(C000005)	L000190	20379600	L000001
T000005	()	(D000005)	(C000006)	L000209	1890000	L000273
T000005	(O000010)	(D000005)	(C000006)	L000273	6559200	L000184
T000005	()	(D000005)	(C000006)	L000184	8798400	L000197
T000005	(O000011)	(D000005)	(C000006)	L000197	12798000	L000002
T000005	()	(D000005)	(C000006)	L000002	18824400	L000077
T000005	(O000012)	(D000005)	(C000006)	L000077	23684400	L000209
T000006	()	(D000006)	(C000007)	L000101	2070000	L000090
T000006	(O000013)	(D000006)	(C000007)	L000090	9370800	L000086
T000006	(O000014)	(D000006)	(C000007)	L000086	13960800	L000243
T000006	(O000015)	(D000006)	(C000007)	L000243	16506000	L000244
T000006	(O000016)	(D000006)	(C000007)	L000244	17478000	L000059
T000006	()	(D000006)	(C000007)	L000059	21114000	L000101
T000007	()	(D000007)	(C000008)	L000101	1620000	L000251
T000007	(O000017)	(D000007)	(C000008)	L000251	5266800	L000061
T000007	()	(D000007)	(C000008)	L000061	7012800	L000101
T000008	()	(D000008)	(C000009)	L000135	990000	L000158
T000008	(O000018)	(D000008)	(C000009)	L000158	7506000	L000009
T000008	(O000019)	(D000008)	(C000009)	L000009	12063600	L000273
T000008	()	(D000008)	(C000009)	L000273	14234400	L000111
T000008	(O000020)	(D000008)	(C000009)	L000111	16038000	L000045
T000008	(O000021)	(D000008)	(C000009)	L000045	18784800	L000072
T000008	()	(D000008)	(C000009)	L000072	22474800	L000112
T000008	(O000022)	(D000008)	(C000009)	L000112	24015600	L000135
T000009	()	(D000009)	(C000010)	L000241	3960000	L000190
T000009	(O000023)	(D000009)	(C000010)	L000190	7783200	L000087
T000009	()	(D000009)	(C000010)	L000087	10656000	L000114
T000009	(O000024)	(D000009)	(C000010)	L000114	14148000	L000094
T000009	()	(D000009)	(C000010)	L000094	15271200	L000239
T000009	(O000025)	(D000009)	(C000010)	L000239	20350800	L000241
T000010	()	(D000010,D000011)	(C000011)	L000102	2070000	L000085
T000010	(O000026)	(D000010,D000011)	(C000011)	L000085	6062400	L000291
T000010	()	(D000010,D000011)	(C000011)	L000291	7668000	L000045
T000010	(O000027)	(D000010,D000011)	(C000011)	L000045	10342800	L000212
T000010	(O000028)	(D000010,D000011)	(C000011)	L000212	14810400	L000102
T000011	()	(D000012)	(C000014,C000013,C000012)	L000004	5580000	L000152
T000011	(O000030,O000029,O000032)	(D000012)	(C000014,C000013,C000012)	L000152	8884800	L000222
T000011	(O000030,O000032,O000031)	(D000012)	(C000014,C000013,C000012)	L000222	15498000	L000139
T000011	()	(D000012)	(C000014,C000013,C000012)	L000139	17308800	L000182
T000011	(O000033)	(D000012)	(C000014,C000013,C000012)	L000182	17863200	L000177
T000011	(O000034)	(D000012)	(C000014,C000013,C000012)	L000177	19900800	L000229
T000011	()	(D000012)	(C000014,C000013,C000012)	L000229	26618400	L000004
T000012	()	(D000013)	(C000015)	L000102	5580000	L000142
